"";"X.1";"X";"Number";"Group";"Class";"Order";"Family";"Genus";"Species";"Mass";"Lat_deg";"Lon_deg";"Elevation";"Date_original";"Date_start";"Date_end";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec";"Year1";"Year2";"Year3";"Year4";"FMR_Watt";"FMR_kJday";"TAREFmean";"TALOCmean";"SOLRAD";"RHREFmean";"RHLOCmean";"FMR_M";"Tanomalies";"TMEAN";"Reference"
"1";1;1;7772;"Mammal";"Mammalia";"Carnivora";"Otariidae";"Arctocephalus";"Arctocephalus_gazella";23825;-54;-38,0333333333333;NA;"March-April 1992";"1992-03-01";"1992-04-30";0;0;1;1;0;0;0;0;0;0;0;0;1992;NA;NA;NA;190,6;16467,84;4,831924567;5,091136162;78,42975905;76,35446562;75,69521206;0,846624107475893;NA;NA;"Arnould, J. P., Green, J. A., & Rawlins, D. R. (2001). Fasting metabolism in Antarctic fur seal (Arctocephalus gazella) pups. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 129(4), 829-841"
"2";2;2;7776;"Mammal";"Mammalia";"Carnivora";"Otariidae";"Arctocephalus";"Arctocephalus_gazella";28250;-54;-38,0333333333333;NA;"March-April 1992";"1992-03-01";"1992-04-30";0;0;1;1;0;0;0;0;0;0;0;0;1992;NA;NA;NA;144,9225;12521,304;4,831924567;5,091136162;78,42975905;76,35446562;75,69521206;0,450349027813602;NA;NA;"Arnould, J. P., Green, J. A., & Rawlins, D. R. (2001). Fasting metabolism in Antarctic fur seal (Arctocephalus gazella) pups. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 129(4), 829-841"
"3";3;3;7785;"Mammal";"Mammalia";"Carnivora";"Otariidae";"Arctocephalus";"Arctocephalus_gazella";32250;-54;-38,0333333333333;NA;"March-April 1992";"1992-03-01";"1992-04-30";0;0;1;1;0;0;0;0;0;0;0;0;1992;NA;NA;NA;249,9375;21594,6;4,831924567;5,091136162;78,42975905;76,35446562;75,69521206;0,900295370947135;NA;NA;"Arnould, J. P., Green, J. A., & Rawlins, D. R. (2001). Fasting metabolism in Antarctic fur seal (Arctocephalus gazella) pups. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 129(4), 829-841"
"4";4;4;7787;"Mammal";"Mammalia";"Carnivora";"Otariidae";"Arctocephalus";"Arctocephalus_gazella";32750;-54;-38,0333333333333;NA;"March-April 1992";"1992-03-01";"1992-04-30";0;0;1;1;0;0;0;0;0;0;0;0;1992;NA;NA;NA;201,74;17430,336;4,831924567;5,091136162;78,42975905;76,35446562;75,69521206;0,675019644389493;NA;NA;"Arnould, J. P., Green, J. A., & Rawlins, D. R. (2001). Fasting metabolism in Antarctic fur seal (Arctocephalus gazella) pups. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 129(4), 829-841"
"5";5;5;7792;"Mammal";"Mammalia";"Carnivora";"Otariidae";"Arctocephalus";"Arctocephalus_gazella";37250;-54;-38,0333333333333;NA;"March-April 1992";"1992-03-01";"1992-04-30";0;0;1;1;0;0;0;0;0;0;0;0;1992;NA;NA;NA;206,365;17829,936;4,831924567;5,091136162;78,42975905;76,35446562;75,69521206;0,60525957837355;NA;NA;"Arnould, J. P., Green, J. A., & Rawlins, D. R. (2001). Fasting metabolism in Antarctic fur seal (Arctocephalus gazella) pups. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 129(4), 829-841"
"6";6;6;7793;"Mammal";"Mammalia";"Carnivora";"Otariidae";"Arctocephalus";"Arctocephalus_gazella";37250;-54;-38,0333333333333;NA;"March-April 1992";"1992-03-01";"1992-04-30";0;0;1;1;0;0;0;0;0;0;0;0;1992;NA;NA;NA;219,4025;18956,376;4,831924567;5,091136162;78,42975905;76,35446562;75,69521206;0,666521075277853;NA;NA;"Arnould, J. P., Green, J. A., & Rawlins, D. R. (2001). Fasting metabolism in Antarctic fur seal (Arctocephalus gazella) pups. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 129(4), 829-841"
"7";7;7;7794;"Mammal";"Mammalia";"Carnivora";"Otariidae";"Arctocephalus";"Arctocephalus_gazella";38500;-54;-38,0333333333333;NA;"March-April 1992";"1992-03-01";"1992-04-30";0;0;1;1;0;0;0;0;0;0;0;0;1992;NA;NA;NA;265,65;22952,16;4,831924567;5,091136162;78,42975905;76,35446562;75,69521206;0,834098109639805;NA;NA;"Arnould, J. P., Green, J. A., & Rawlins, D. R. (2001). Fasting metabolism in Antarctic fur seal (Arctocephalus gazella) pups. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 129(4), 829-841"
"8";8;8;7795;"Mammal";"Mammalia";"Carnivora";"Otariidae";"Arctocephalus";"Arctocephalus_gazella";39000;-54;-38,0333333333333;NA;"March-April 1992";"1992-03-01";"1992-04-30";0;0;1;1;0;0;0;0;0;0;0;0;1992;NA;NA;NA;187,2;16174,08;4,831924567;5,091136162;78,42975905;76,35446562;75,69521206;0,474832879198458;NA;NA;"Arnould, J. P., Green, J. A., & Rawlins, D. R. (2001). Fasting metabolism in Antarctic fur seal (Arctocephalus gazella) pups. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 129(4), 829-841"
"9";9;9;7801;"Mammal";"Mammalia";"Carnivora";"Otariidae";"Arctocephalus";"Arctocephalus_gazella";40500;-54;-38,0333333333333;NA;"March-April 1992";"1992-03-01";"1992-04-30";0;0;1;1;0;0;0;0;0;0;0;0;1992;NA;NA;NA;306,18;26453,952;4,831924567;5,091136162;78,42975905;76,35446562;75,69521206;0,939735320240529;NA;NA;"Arnould, J. P., Green, J. A., & Rawlins, D. R. (2001). Fasting metabolism in Antarctic fur seal (Arctocephalus gazella) pups. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 129(4), 829-841"
"10";10;10;7804;"Mammal";"Mammalia";"Carnivora";"Otariidae";"Arctocephalus";"Arctocephalus_gazella";45500;-54;-38,0333333333333;NA;"March-April 1992";"1992-03-01";"1992-04-30";0;0;1;1;0;0;0;0;0;0;0;0;1992;NA;NA;NA;232,05;20049,12;4,831924567;5,091136162;78,42975905;76,35446562;75,69521206;0,578945949340651;NA;NA;"Arnould, J. P., Green, J. A., & Rawlins, D. R. (2001). Fasting metabolism in Antarctic fur seal (Arctocephalus gazella) pups. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 129(4), 829-841"
"11";11;11;8076;"Mammal";"Mammalia";"Carnivora";"Odobenidae";"Odobenus";"Odobenus_rosmarus";1250000;76,88;-19,6316666666667;NA;"August 2001";"2001-08-01";"2001-08-31";0;0;0;0;0;0;0;1;0;0;0;0;2001;NA;NA;NA;4831,01851851852;417400;-0,861238904;0,812769196;202,5383291;80,3768088;72,19975001;1,23632371588981;-2,761238904;1,9;"Acquarone, M., Born, E., & Speakman, J. (2006). Field Metabolic Rates of Walrus ( Odobenus rosmarus ) Measured by the Doubly Labeled Water Method. Aquatic Mammals, 32, 363-369. https://doi.org/10.1578/AM.32.3.2006.363"
"12";12;12;8077;"Mammal";"Mammalia";"Carnivora";"Odobenidae";"Odobenus";"Odobenus_rosmarus";1370000;76,88;-19,6316666666667;NA;"August 2001";"2001-08-01";"2001-08-31";0;0;0;0;0;0;0;1;0;0;0;0;2001;NA;NA;NA;3993,05555555556;345000;-0,861238904;0,812769196;202,5383291;80,3768088;72,19975001;0,980016774990516;-2,761238904;1,9;"Acquarone, M., Born, E., & Speakman, J. (2006). Field Metabolic Rates of Walrus ( Odobenus rosmarus ) Measured by the Doubly Labeled Water Method. Aquatic Mammals, 32, 363-369. https://doi.org/10.1578/AM.32.3.2006.363"
"13";13;13;7984;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";11,3;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,288796611111111;24,9520272;NA;NA;NA;NA;NA;-0,15112906248659;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
"14";14;14;7985;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";11,7;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,28147925;24,3198072;NA;NA;NA;NA;NA;-0,201765381654043;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
"15";15;15;7986;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";12,5;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,230229166666667;19,8918;NA;NA;NA;NA;NA;-0,450229598323773;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
"16";16;16;7987;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";12,5;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,280201388888889;24,2094;NA;NA;NA;NA;NA;-0,253796197337137;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
"17";17;17;7988;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";12,5;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,3051875;26,3682;NA;NA;NA;NA;NA;-0,168378446182785;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
"18";18;18;7989;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";12,6;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,2725485;23,5481904;NA;NA;NA;NA;NA;-0,287208425703456;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
"19";19;19;7990;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";12,8;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,227530666666667;19,6586496;NA;NA;NA;NA;NA;-0,479045463597681;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
"20";20;20;7991;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";12,9;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,239438333333333;20,687472;NA;NA;NA;NA;NA;-0,433621258920766;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
"21";21;21;7992;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";13,2;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,142292333333333;12,2940576;NA;NA;NA;NA;NA;-0,970537330992416;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
"22";22;22;7993;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";13,3;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,223125972222222;19,278084;NA;NA;NA;NA;NA;-0,526102462519516;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
"23";23;23;7994;"Mammal";"Mammalia";"Chiroptera";"Phyllostomidae";"Macrotus";"Macrotus_californicus";13,3;NA;NA;NA;"November 1983 -March 1984";NA;NA;1;1;1;0;0;0;0;0;0;0;1;1;1983;1984;NA;NA;0,225024916666667;19,4421528;NA;NA;NA;NA;NA;-0,517627835528543;NA;NA;"Bell, G., Bartholomew, G., & Nagy, K. (1986). The Roles of energetics, water economy, foraging behavior, and geothermal refugia in the distribution of the bat, Macrotus californicus. Journal of Comparative Physiology B, 156, 441-450. https://doi.org/10.1007/BF01101107"
